Variable,Coef,OR,CI_lo,CI_hi,SE,z,p_value,Model,p_fdr,sig_fdr
bloc_Other,0.6948574695881787,2.0034235048133224,1.0271263488943063,3.9077039976232917,0.3408635301265396,2.0385210155226203,0.041497855237672514,gh_last_C,,
bloc_South Asian,-0.07852543369991019,0.9244785467226098,0.6454142097059612,1.3242047827544983,0.1833354841881358,-0.42831552248406374,0.6684214192529352,gh_last_C,,
bloc_Western,-0.24295619350658904,0.7843058707089798,0.6336271246859732,0.9708165494547499,0.1088461405436623,-2.2321066442326463,0.025607915411428206,gh_last_C,,
"field_Biochemistry, Genetics and Molecular Biology",-0.4031035146312086,0.6682429228235183,0.5721174286447317,0.7805191409070188,0.07923852000397148,-5.087216603881607,3.6335676132036003e-07,gh_last_C,,
field_Engineering,0.11789893021867816,1.1251303889381201,0.8394152011901003,1.508095624569653,0.1494636473852033,0.7888134157118797,0.4302210672573331,gh_last_C,,
field_Immunology and Microbiology,-0.17000441929996324,0.8436610881967291,0.7264095431260061,0.9798384925868513,0.07634535455002696,-2.22678144992521,0.02596188373890243,gh_last_C,,
field_Neuroscience,-0.022591323262690685,0.9776619498373244,0.6826309268253132,1.4002044891299164,0.18327021065401594,-0.12326784141335109,0.9018950054189674,gh_last_C,,
field_Other,0.055483402129521686,1.0570514721233957,0.24818385220437308,4.502137446871934,0.7393208520761899,0.0750464456314346,0.9401777577862522,gh_last_C,,
"field_Pharmacology, Toxicology and Pharmaceutics",-0.13838228863249458,0.8707657442632368,0.5924278220563389,1.279874025413685,0.1965020122832283,-0.7042283538197928,0.4812905761671632,gh_last_C,,
log_author_count,-0.6367215675922766,0.5290239534144914,0.5006656103743014,0.5589885494173802,0.028109835463172122,-22.651202225159672,1.3575620565066532e-113,gh_first_D,,
year_centered,0.035064275131545725,1.0356862755319076,0.9934120276426851,1.0797594869779132,0.021262267327141177,1.649131515094176,0.09912069446519785,gh_first_D,,
year_centered_sq,-0.00039668741872552583,0.9996033912513257,0.9982549509910157,1.0009536529813252,0.0006887173275209133,-0.5759800180335671,0.5646286878977816,gh_first_D,,
has_funding_int,-0.16216091722325968,0.8503043649132744,0.702297779152751,1.0295027756784483,0.09756982696305304,-1.661998614435029,0.09651305229604824,gh_first_D,,
is_oa_int,0.23616871392934555,1.2663879494314376,1.1377202756695477,1.409606977006156,0.05466439382329142,4.320339025303866,1.557896676787282e-05,gh_first_D,,
covid_era,-0.08191650762929814,0.9213488810874131,0.8168743093232789,1.0391852834547664,0.06140486351306924,-1.3340394057200904,0.18219094248739187,gh_first_D,,
bloc_East Asian,-0.36519119629461605,0.6940639357383218,0.561851351889032,0.8573882491746891,0.10781977867234602,-3.3870519935344805,0.0007064799756889413,gh_first_D,,
bloc_Latin American,0.04671770229013984,1.0478261683963768,0.352768167126485,3.1123547459500966,0.5554397400223786,0.08410939823689531,0.9329694524119804,gh_first_D,,
bloc_MENA,0.1711337293494907,1.1866494282675548,0.809025393924139,1.7405348165619554,0.1954381135152798,0.8756415331245565,0.38122493909652,gh_first_D,,
bloc_Multi-bloc,-0.9742770278158261,0.37746515174373196,0.32630141470402296,0.43665131182516437,0.07431464897109777,-13.110161203812442,2.87985642960776e-39,gh_first_D,,
bloc_Other,-0.4064004288916198,0.6660434109951245,0.3644730612827011,1.2171374854668182,0.307603166999456,-1.321184150527093,0.18643996973355037,gh_first_D,,
bloc_South Asian,-0.5453341843606806,0.5796480416587081,0.4461719899713853,0.7530545613594519,0.1335288720398606,-4.084017007182456,4.4263789075057e-05,gh_first_D,,
bloc_Western,-0.09223366350742439,0.9118920487546165,0.8099846390873582,1.0266208375492516,0.06046241432537252,-1.5254710639088611,0.1271416455431288,gh_first_D,,
